"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4279392";"";"None";"466.60";"1";"5.15";"22";"CC1(C)CCSc2ccc(CN3CCC4(CC3)CN(c3ccc(C(=O)O)cc3)C(=O)O4)cc21";"Imax";"'='";"81.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4270311";"Displacement of [3-125I-Tyr11]-SRIF-14 or [3-125I-Tyr11]-SRIF-28 from human SSR5 expressed in CHOK1 cell membranes at 10 uM relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4266057";"1";"Scientific Literature";"ACS Med Chem Lett";"2018";"None";"";"";"";"81.0"
"CHEMBL265836";"";"None";"1297.62";"None";"None";"8";"CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H]([C@@H](C)O)NC2=O)cc1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL829076";"Inhibition of 125I-[Leu8,D-Trp22,Tyr25]SRIF-28 binding to human somatostatin receptor type 5";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141179";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"1000.0"
"CHEMBL436887";"";"None";"1501.80";"None";"None";"33";"CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@@H]([C@@H](C)O)NC2=O)cc1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL829077";"Inhibition of [Leu8,D-Trp22,125I-Tyr25]SRIF-28 binding to human somatostatin receptor type 5";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145176";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"1000.0"
"CHEMBL442605";"";"None";"603.64";"0";"2.41";"21";"CC(=O)N[C@@H]1Cc2c([nH]c3ccccc23)CN([C@@H](CCCCN)C(=O)NCCc2ccccc2)C1=O.O=C(O)C(F)(F)F";"IC50";"'='";"0.56";"nM";"9.25";"";"";"UO_0000065";"18.90";"0.35";"6.84";"7.69";"0";"CHEMBL1009182";"Displacement of [125I]-[Leu8, DTrp22, Tyr25]-somatostatin-28 from human recombinant sst5 receptor expressed in chinese hamster CCL39 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CCL39";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139341";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"0.56"
"CHEMBL448026";"";"None";"679.74";"1";"3.98";"10b";"NCCCC[C@@H](C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2C[C@@H](NC(=O)CCc2ccccc2)C1=O.O=C(O)C(F)(F)F";"IC50";"'='";"3.4";"nM";"8.47";"";"";"UO_0000065";"14.97";"0.28";"4.49";"7.04";"0";"CHEMBL1009182";"Displacement of [125I]-[Leu8, DTrp22, Tyr25]-somatostatin-28 from human recombinant sst5 receptor expressed in chinese hamster CCL39 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CCL39";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139341";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"3.4"
"CHEMBL3665793";"";"None";"556.59";"2";"5.80";"BDBM123209";"CC(C)(C)n1cc(CN2CCCC3(CC2)CN(c2ccc(C(=O)O)cc2)C(=O)O3)c(-c2ccc(F)c(F)c2F)n1";"IC50";"'='";"206.7";"nM";"6.68";"";"252038";"UO_0000065";"12.01";"0.23";"0.88";"7.60";"0";"CHEMBL3705142";"Binding Assay: SSTR5 binding assays can be performed by labeling somatostatin and determining the ability of a compound to inhibit somatostatin binding. (Poitout et al., J. Med. Chem. 44:29900-3000, (2001); Hocart et al., J. Med. Chem. 41:1146-1154, (1998); J. Med. Chem. 50, 6292-6295 (2007) and J. Med. Chem. 50, 6295-6298 (2007)). Binding assays were performed using (3-125I-Tyr11)-SRIF-14 or (3-125I-Tyr11)-SRIF-28 as the radioligand (used at 0.1 nM) and The Packard Unifilter assay plate. The assay buffer consisted of 50 mM TrisHCl (pH 7.8) with 1 mM EGTA, 5 in M MgCl2, leupeptin (10 μg/mL), pepstatin (10 μg/mL), bacitracin (200 μg/mL), and aprotinin (0.5 μg/mL).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639241";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"206.7"
"CHEMBL3665796";"";"None";"532.64";"2";"5.39";"BDBM123212";"COc1ccc(-c2nn(C(C)(C)C)cc2CN2CCCC3(CC2)CN(c2ccc(C(=O)O)cc2)C(=O)O3)cc1";"IC50";"'='";"26.77";"nM";"7.57";"";"252041";"UO_0000065";"14.22";"0.27";"2.18";"7.80";"0";"CHEMBL3705142";"Binding Assay: SSTR5 binding assays can be performed by labeling somatostatin and determining the ability of a compound to inhibit somatostatin binding. (Poitout et al., J. Med. Chem. 44:29900-3000, (2001); Hocart et al., J. Med. Chem. 41:1146-1154, (1998); J. Med. Chem. 50, 6292-6295 (2007) and J. Med. Chem. 50, 6295-6298 (2007)). Binding assays were performed using (3-125I-Tyr11)-SRIF-14 or (3-125I-Tyr11)-SRIF-28 as the radioligand (used at 0.1 nM) and The Packard Unifilter assay plate. The assay buffer consisted of 50 mM TrisHCl (pH 7.8) with 1 mM EGTA, 5 in M MgCl2, leupeptin (10 μg/mL), pepstatin (10 μg/mL), bacitracin (200 μg/mL), and aprotinin (0.5 μg/mL).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639241";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"26.77"
"CHEMBL3665813";"";"None";"548.61";"2";"5.98";"BDBM123229";"CCOc1cc(CN2CCC3(CC2)CN(c2cccc(C(=O)O)c2)C(=O)O3)cc(OCC)c1-c1ccc(F)cc1";"IC50";"'='";"9.153";"nM";"8.04";"";"252058";"UO_0000065";"14.65";"0.27";"2.06";"9.08";"0";"CHEMBL3705142";"Binding Assay: SSTR5 binding assays can be performed by labeling somatostatin and determining the ability of a compound to inhibit somatostatin binding. (Poitout et al., J. Med. Chem. 44:29900-3000, (2001); Hocart et al., J. Med. Chem. 41:1146-1154, (1998); J. Med. Chem. 50, 6292-6295 (2007) and J. Med. Chem. 50, 6295-6298 (2007)). Binding assays were performed using (3-125I-Tyr11)-SRIF-14 or (3-125I-Tyr11)-SRIF-28 as the radioligand (used at 0.1 nM) and The Packard Unifilter assay plate. The assay buffer consisted of 50 mM TrisHCl (pH 7.8) with 1 mM EGTA, 5 in M MgCl2, leupeptin (10 μg/mL), pepstatin (10 μg/mL), bacitracin (200 μg/mL), and aprotinin (0.5 μg/mL).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639241";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"9.153"
"CHEMBL3665816";"";"None";"549.60";"2";"5.37";"BDBM123232";"CCOc1cc(CN2CCC3(CC2)CN(c2cc(C(=O)O)ccn2)C(=O)O3)cc(OCC)c1-c1ccc(F)cc1";"IC50";"'='";"2.215";"nM";"8.65";"";"252061";"UO_0000065";"15.75";"0.30";"3.28";"8.53";"0";"CHEMBL3705142";"Binding Assay: SSTR5 binding assays can be performed by labeling somatostatin and determining the ability of a compound to inhibit somatostatin binding. (Poitout et al., J. Med. Chem. 44:29900-3000, (2001); Hocart et al., J. Med. Chem. 41:1146-1154, (1998); J. Med. Chem. 50, 6292-6295 (2007) and J. Med. Chem. 50, 6295-6298 (2007)). Binding assays were performed using (3-125I-Tyr11)-SRIF-14 or (3-125I-Tyr11)-SRIF-28 as the radioligand (used at 0.1 nM) and The Packard Unifilter assay plate. The assay buffer consisted of 50 mM TrisHCl (pH 7.8) with 1 mM EGTA, 5 in M MgCl2, leupeptin (10 μg/mL), pepstatin (10 μg/mL), bacitracin (200 μg/mL), and aprotinin (0.5 μg/mL).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639241";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"2.215"
"CHEMBL374833";"";"None";"641.82";"2";"5.57";"23";"NCCCC[C@@H](C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2C[C@@H](NC(=O)CC(c2ccccc2)c2ccccc2)C1=O";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"12.62";"0.23";"2.53";"6.73";"0";"CHEMBL888503";"Displacement of [125I][Leu8-D-Trp22, Tyr25]-SRIF28 from human SST5 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1792";"Somatostatin receptor type 5";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145409";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"8.0"
