Smiles,Standard Value,Standardized Smiles,inchi_key,scaffold,MolWt,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,logP,fp
CC(=O)N[C@@H]1Cc2c([nH]c3ccccc23)CN([C@@H](CCCCN)C(=O)NCCc2ccccc2)C1=O.O=C(O)C(F)(F)F,0.56,CC(=O)NC1Cc2c([nH]c3ccccc23)CN(C(CCCCN)C(=O)NCCc2ccccc2)C1=O,BZBKOTKAPXOMFC-UHFFFAOYSA-N,O=C(CN1Cc2[nH]c3ccccc3c2CCC1=O)NCCc1ccccc1,489.27398998,4,4,120.32,10,3,2.413800000000001,[0 1 0 ... 0 0 0]
NCCCC[C@@H](C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2C[C@@H](NC(=O)CCc2ccccc2)C1=O.O=C(O)C(F)(F)F,3.4,NCCCCC(C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2CC(NC(=O)CCc2ccccc2)C1=O,GGYYGVOSHKQLBY-UHFFFAOYSA-N,O=C(CN1Cc2[nH]c3ccccc3c2CC(NC(=O)CCc2ccccc2)C1=O)NCc1ccccc1,565.305290108,4,4,120.32,12,4,3.984200000000002,[0 1 0 ... 0 0 0]
CC(C)(C)n1cc(CN2CCCC3(CC2)CN(c2ccc(C(=O)O)cc2)C(=O)O3)c(-c2ccc(F)c(F)c2F)n1,206.7,CC(C)(C)n1cc(CN2CCCC3(CC2)CN(c2ccc(C(=O)O)cc2)C(=O)O3)c(-c2ccc(F)c(F)c2F)n1,GQTPUVOREKBOEK-UHFFFAOYSA-N,O=C1OC2(CCCN(Cc3c[nH]nc3-c3ccccc3)CC2)CN1c1ccccc1,556.2297401319998,1,5,87.9,5,3,5.802100000000006,[0 0 0 ... 0 0 0]
COc1ccc(-c2nn(C(C)(C)C)cc2CN2CCCC3(CC2)CN(c2ccc(C(=O)O)cc2)C(=O)O3)cc1,26.77,COc1ccc(-c2nn(C(C)(C)C)cc2CN2CCCC3(CC2)CN(c2ccc(C(=O)O)cc2)C(=O)O3)cc1,FCEQFHOHNCPYHD-UHFFFAOYSA-N,O=C1OC2(CCCN(Cc3c[nH]nc3-c3ccccc3)CC2)CN1c1ccccc1,532.2685702519999,1,6,97.13000000000001,6,3,5.393400000000005,[0 0 0 ... 0 0 0]
CCOc1cc(CN2CCC3(CC2)CN(c2cccc(C(=O)O)c2)C(=O)O3)cc(OCC)c1-c1ccc(F)cc1,9.153,CCOc1cc(CN2CCC3(CC2)CN(c2cccc(C(=O)O)c2)C(=O)O3)cc(OCC)c1-c1ccc(F)cc1,ZFMDOHODYSKTJM-UHFFFAOYSA-N,O=C1OC2(CCN(Cc3ccc(-c4ccccc4)cc3)CC2)CN1c1ccccc1,548.2322649959999,1,6,88.54000000000002,9,3,5.9797000000000065,[0 0 0 ... 0 0 0]
CCOc1cc(CN2CCC3(CC2)CN(c2cc(C(=O)O)ccn2)C(=O)O3)cc(OCC)c1-c1ccc(F)cc1,2.215,CCOc1cc(CN2CCC3(CC2)CN(c2cc(C(=O)O)ccn2)C(=O)O3)cc(OCC)c1-c1ccc(F)cc1,YUDLEZSMWZFNKT-UHFFFAOYSA-N,O=C1OC2(CCN(Cc3ccc(-c4ccccc4)cc3)CC2)CN1c1ccccn1,549.2275139639999,1,7,101.43,9,3,5.374700000000005,[0 0 0 ... 0 0 0]
NCCCC[C@@H](C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2C[C@@H](NC(=O)CC(c2ccccc2)c2ccccc2)C1=O,8.0,NCCCCC(C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2CC(NC(=O)CC(c2ccccc2)c2ccccc2)C1=O,HBLIGSJPLIFUFI-UHFFFAOYSA-N,O=C(CN1Cc2[nH]c3ccccc3c2CC(NC(=O)CC(c2ccccc2)c2ccccc2)C1=O)NCc1ccccc1,641.336590236,4,4,120.32,13,5,5.573600000000004,[0 1 0 ... 0 0 0]
NCCCC[C@@H](C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2C[C@@H](NC(=O)Cc2ccccc2)C1=O,1.2,NCCCCC(C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2CC(NC(=O)Cc2ccccc2)C1=O,FGKNVWQWKFERAE-UHFFFAOYSA-N,O=C(CN1Cc2[nH]c3ccccc3c2CC(NC(=O)Cc2ccccc2)C1=O)NCc1ccccc1,551.2896400440001,4,4,120.32,11,4,3.594100000000001,[0 1 0 ... 0 0 0]
NCCCC[C@@H](C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2C[C@@H](NC(=O)Cc2ccccc2)C1=O,1.2,NCCCCC(C(=O)NCc1ccccc1)N1Cc2[nH]c3ccccc3c2CC(NC(=O)Cc2ccccc2)C1=O,FGKNVWQWKFERAE-UHFFFAOYSA-N,O=C(CN1Cc2[nH]c3ccccc3c2CC(NC(=O)Cc2ccccc2)C1=O)NCc1ccccc1,551.2896400440001,4,4,120.32,11,4,3.594100000000001,[0 1 0 ... 0 0 0]
C[C@H](N)C(=O)NCC(=O)N[C@@H]1CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCCCN)NC1=O,5.0,CC(N)C(=O)NCC(=O)NC1CSSCC(C(=O)O)NC(=O)C(CO)NC(=O)C([C@@H](C)O)NC(=O)C(Cc2ccccc2)NC(=O)C([C@@H](C)O)NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)C(CCCCN)NC1=O,ZIHRAPFYJSDXSV-OQROCVGVSA-N,O=C1CCSSCCNC(=O)CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CN1,1522.6737276759995,20,21,541.0399999999998,24,5,-3.273800000000037,[0 1 0 ... 0 0 0]
